Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	fix	easier	series	re	wasn	service	needed	person	tech	came	best	asked	much	life	things	had	easy	possible	right	old	people	support	happy	inside	later	time	team	love	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	note	take	drive	ways	going	where	many	photos	former	technology	being	around	world	power	favorite	side	her	am	having	tv	th	large	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	try	major	number	self	also	play	microsoft	set	see	project	available	last	let	whole	blog	recent	amp	readers	parents	couple	d	continue	anything	into	link	line	us	ago	results	video	great	makes	tools	next	process	high	move	perfect	doing	books	could	start	system	lot	device	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	five	become	does	problem	chance	worked	worth	told	search	work	interview	after	law	order	office	then	them	network	another	do	away	launched	hand	photo	thanks	night	post	months	way	update	together	change	live	car	write	product	use	remember	still	non	half	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	real	read	early	using	business	your	trying	since	month	very	learned	family	put	takes	site	history	help	soon	actually	event	reason	ask	mobile	clear	latest	pretty	during	x	close	won	probably	both	along	else	look	while	ready	used	user	march	game	popular	some	run	step	within	doesn	go	facebook	click	products	started	point	links	including	keep	art	long	data	exactly	need	based	she	well	page	twitter	home	noticed	he	display	friends	companies	likely	even	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	content	isn	matter	don	m	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	dead	super	down	finally	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	little	anyone	were	potential	show	behind	black	get	morning	enough	reading	across	those	sound	different	pay	same	running	money	either	videos	youtube	again	important	u	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	itself	spend	big	bit	google	often	back	single	entire	others	control	stories	ll	day	announced	text	taking	value	almost	com	thought	add	happens	buy	minutes	special	starting	under	every	path	changes	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	games	quickly	pick	able	everything	head	hear	check	no	cool	level	posts	says	goes	water	today	name	turn	place	white	any	ideas	sure	state	college	come	case	myself	someone	events	week	without	seems	there	far	list	design	version	known	short	might	friday	feel	story	kind	nothing	his	him	wrote	recently	became	reasons	questions	customers	question	called	say	nice	users	once	apple	heart	app	few	something	six	instead	related	our	york	their	which	who	why	thousands	words	view	april	will	gets	other	know	because	lead	getting	own	apps	made	whether	book
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	5	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	3	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Eschaton	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	1	2	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	1	0	0	0	0	2	1	0	1	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0	2	1	0	3	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	3	2	0	0	1	1	0	3	0	1	2	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	2	0	0	0	0	1	2	1	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	2	1	2	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	0
PerezHilton	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0
Slashdot	1	1	1	1	2	1	0	0	0	1	0	0	0	0	0	3	1	2	0	0	2	0	1	0	3	0	1	2	1	0	1	1	5	1	0	0	1	4	0	0	1	0	1	0	0	0	1	0	2	1	0	4	0	2	0	1	0	1	4	0	3	3	2	0	3	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	4	3	0	2	0	1	4	0	0	2	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	5	0	0	2	1	2	1	0	1	2	2	0	1	0	1	1	1	0	2	1	0	0	0	0	0	2	0	0	0	2	1	2	0	1	0	0	0	2	0	1	3	0	3	2	0	1	0	3	0	1	3	1	0	2	0	0	0	1	0	4	0	0	0	1	1	1	0	4	0	0	1	0	4	3	1	1	1	4	0	5	0	1	2	0	1	3	0	2	15	1	1	1	9	0	1	1	1	0	1	0	0	2	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	2	0	3	0	1	0	0	2	1	0	0	1	2	0	0	2	1	1	0	2	2	2	0	3	0	3	1	1	0	1	0	6	0	1	0	0	1	0	6	0	0	0	0	0	0	0	3	6	1	0	0	0	1	0	0	0	0	4	3	0	0	3	4	1	0	0	0	1	0	0	2	0	1	0	1	1	5	3	0	0	0	0	0	0	0	2	0	2	2	0	1	0	1	0	0	1	0	3	0	0	0	3	0	4	0	0	0	0	1	4	0	3	0	0	0	2	0	1	0	0	0	0	1	2	0	0	4	0	0	1	1	0	1	1	0	1	2	0	1	0	2	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	5	1	1	2	0	1	3	1	0	0	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	4	0	0	0	0	0	0	2	1	0	2	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	3	1	2	0	0	2	0	1	0	0	6	0	1	0	0	0	1	1	0	1	17	1	0	5	0	0	0	0	0	1	1	0	3	2	0	2	0	9	0	0	1	2	1	0	2	1	1	10	6	6	0	1	0	1	1	6	0	8	0	3	3	0	1	0	0	1	1
Matt Cutts: Gadgets, Google, and SEO	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	5	0	0	0	1	0	0	1	0	1	2	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	3	1	0	0	1	2	0	0	0	0	2	9	1	1	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1
Gothamist	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	6	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	5	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	1	3	0	0	1	4	0	0	1	0	0	0	0	0	1	0	0	2	0	3	1	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	5	7	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	1	1	1	0	0	2	2	0	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	2	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	2	1	0	1	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	2	0	0	3	0	0	2	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	4	0	0	1	0	0	1	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	1	2	2	1	3	0	1	0	0	0	5	0	0	0	0	1	1	0	0	0	0	1
we make money not art	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	1	0	0	0	0	0	0	4	3	0	0	0	3	2	0	0	1	0	1	0	0	2	0	3	0	1	1	1	0	0	0	2	1	2	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	0	0	0	2	3	1	1	3	0	0	1	1	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	8	15	0	3	0	2	8	1	0	1	0	0	0	0	1	0	0	0	1	4	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	1	1	0	1	0	0	0	0	4	1	4	0	0	0	1	1	0	0	2	0	0	0	2	0	0	3	3	3	1	0	0	0	0	0	0	0	0	1	1	1	1	2	4	0	0	1	0	0	0	1	4	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	6	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	3	0	0	0	0	2	0	0	4	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	1	0	0	3	0	0	0	0	3	0	1	0	2	0	1	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	1	3	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	7	0	5	2	2	0	0	0	0	0	3	1	3	2	1	0	0	0	0	5	0	6
BuzzMachine	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	8	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	0	0	1	2	0	1	0	0	0	2	1	0	3	2	0	0	0	0	0	1	3	0	1	0	0	0	0	0	3	0	0	0	0	0	2	3	0	0	0	0	1	0	1	1	0	0	0	1	0	4	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	3	4	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	2	2	1	0	0	0	1	1	9	1	0	0	0	0	0	1	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	2	1	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	5	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	3	2
Techdirt.	1	7	2	13	5	0	19	2	1	9	0	3	2	0	0	18	4	11	0	7	3	2	3	0	9	1	9	15	0	6	15	7	33	2	3	0	4	27	5	1	2	4	22	11	19	6	25	3	3	2	11	11	3	12	2	5	17	15	18	2	2	11	30	10	14	4	2	5	12	3	3	30	3	4	11	11	7	4	3	8	6	21	3	12	55	9	7	12	6	5	2	3	23	2	0	2	14	0	5	8	4	5	1	5	0	10	2	1	7	4	7	13	0	5	20	5	3	8	4	5	3	10	9	3	8	3	9	0	19	5	6	4	3	1	9	20	1	3	6	25	21	0	13	5	0	1	4	7	3	0	0	3	1	4	15	0	16	23	4	3	15	17	5	9	19	6	0	2	2	2	2	7	3	21	0	1	0	2	0	0	1	42	2	15	3	1	18	11	0	4	2	35	0	9	1	26	5	2	4	20	20	10	8	2	15	7	16	9	2	2	21	1	2	9	0	0	4	4	2	16	0	0	2	3	7	0	1	4	0	3	6	3	8	3	2	11	18	0	10	1	2	9	0	39	4	13	3	20	14	2	1	4	3	10	0	13	5	1	10	8	3	7	8	9	15	1	1	2	0	20	0	0	22	8	45	6	2	7	1	3	1	0	8	3	7	1	2	9	11	6	15	4	12	24	25	0	20	1	53	15	1	4	5	9	3	11	0	2	8	5	9	14	15	0	8	0	0	5	8	8	24	6	2	19	3	10	1	0	19	1	9	0	1	20	2	8	13	13	2	8	4	2	2	10	2	6	17	15	0	8	2	6	6	7	5	5	11	8	10	11	1	15	8	9	1	3	2	13	1	10	4	40	8	14	1	3	5	3	4	6	3	1	4	5	1	4	0	3	1	1	3	1	7	1	11	13	0	4	33	2	2	9	5	5	4	27	2	2	6	11	2	5	9	5	10	2	3	4	2	6	9	13	2	5	3	4	2	0	2	28	2	7	5	6	6	0	3	7	2	16	1	29	1	10	9	0	5	7	0	2	1	17	13	10	50	3	3	1	1	5	0	8	0	2	21	6	10	27	11	2	4	3	2	6	9	5	8	5	2	3	7	2	1	0	11	10	3	6	2	8	3	42	33	22	6	1	3	1	1	56	3	23	14	28	2	3	8	0	14	9	2
Little Green Footballs	2	0	1	7	0	3	8	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	1	0	0	5	0	7	0	0	0	0	1	0	0	1	2	2	2	2	1	2	0	0	0	0	0	1	0	0	0	2	0	1	0	4	0	2	1	1	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	1	3	3	2	0	0	2	1	1	0	1	2	0	0	2	0	3	0	1	0	8	2	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	2	3	3	1	0	1	0	0	1	5	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	0	0	1	2	0	0	3	2	0	0	0	0	0	0	1	1	0	2	1	0	1	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	2	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	4	0	0	2	2	0	2	0	0	1	0	0	0	0	0	2	0	1	1	1	1	1	0	4	1	0	11	0	0	0	0	1	2	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	0	4	1	0	0	3	2	2	0	0	1	2	0	0	0	2	1	0	0	1	0	4	0	0	0	0	2	2	3	1	1	2	0	3	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	13	1	0	0	0	3	0	1	1	0	5	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	1	4	2	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	1	0	0	4	1	3	0	2	2	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	2	0	1	1	0	0	0	1	1	0	3	2	0	1	2	0	0	0	2	0	1	0	0	1	1	1	0	1	2	0	0	0	0	2	0	1	2	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	2	2	1	5	2	0	0	0	0	1	2	2	1	3	0	0	0	0	2	0	0
Gawker	0	0	0	2	0	0	4	0	0	0	0	0	0	0	2	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	2	1	2	0	0	0	8	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	1	1	0	1	0	0	1	1	0	0	4	1	1	2	2	1	0	1	0	1	0	0	2	1	0	4	2	0	0	2	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	1	4	1	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	4	0	0	1	1	0	0	1	2	0	1	0	0	1	1	26	0	0	0	5	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	3	1	0	0	0	0	1	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	10	1	0	0	0	2	1	1	4	1	0	0	0	1	0	2	0	0	0	0	0	3	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	1	2	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	1	0	1	0	0	2	0	1	0	0	0	2	0	0	0	0	4	1	0	2	0	0	0	0	1	0	0	1	2	0	1	1	0	1	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	1	0	0	4	0	1	2	0	1	0	2	0	0	1	1	0	2	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	3	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	12	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	3	0	4	1	2	1	0	0	0	0	3	0	2	0	5	0	1	2	0	0	0	0
ongoing by Tim Bray	0	0	0	7	1	2	0	0	0	2	0	0	1	0	0	16	0	0	0	0	1	0	0	0	0	2	1	2	1	0	1	2	0	0	0	0	0	2	0	2	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	4	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	1	0	3	0	2	2	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	1	5	1	0	2	0	1	0	0	1	4	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	3	0	0	0	1	0	4	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	1	1	0	2	0	1	0	2	0	0	0	2	1	1	0	1	0	0	0	0	0	2	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	4	1	1	0	0	0	3	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	2	1	1	2	0	1	0	0	0	0	0	1	4	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	8	1	0	1	0	0	0	2	0	1	0	0	3	0	0	2	1	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	0	3	0	0	0	0	1	0	0	5	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1
